dart0, 450.0000, 20.0000, 150.0000, 170.0000
dart1, 200.0000, 135.0000, 190.0000, 190.0000
dart2, 90.0000, 90.0000, 110.0000, 110.0000
dart3, 315.0000, 140.0000, 85.0000, 90.0000
dart4, 190.0000, 102.0000, 210.0000, 195.0000
dart5, 435.0000, 144.0000, 105.0000, 106.0000
dart6, 205.0000, 110.0000, 75.0000, 80.0000
dart7, 260.0000, 175.0000, 140.0000, 140.0000
dart8, 845.0000, 220.0000, 113.0000, 120.0000
dart8, 63.0000, 243.0000, 72.0000, 111.0000
dart9, 210.0000, 55.0000, 223.0000, 225.0000
dart10, 94.0000, 108.0000, 90.0000, 103.0000
dart10, 587.0000, 133.0000, 51.0000, 76.0000
dart10, 918.0000, 152.0000, 32.0000, 61.0000
dart11, 180.0000, 109.0000, 50.0000, 71.0000
dart11, 446.0000, 122.0000, 20.0000, 63.0000
dart12, 160.0000, 82.0000, 56.0000, 131.0000
dart13, 277.0000, 125.0000, 123.0000, 125.0000
dart14, 126.0000, 105.0000, 117.0000, 128.0000
dart14, 990.0000, 98.0000, 120.0000, 120.0000
dart15, 159.0000, 60.0000, 121.0000, 130.0000
